TimeStamp,o,h,l,c,v
2024-08-01,1305.0,1442.0,1295.0,1442.0,21169
2024-08-04,1413.2,1413.2,1304.4,1390.0,26159
2024-08-05,1362.2,1468.0,1310.0,1360.6,15097
2024-08-06,1333.4,1333.5,1239.7,1247.0,23308
2024-08-07,1222.1,1309.6,1210.3,1284.0,19338
2024-08-08,1270.0,1280.0,1245.0,1250.0,12988
2024-08-11,1275.0,1300.0,1219.0,1224.0,16822
2024-08-12,1224.0,1224.0,1167.1,1193.0,18032
2024-08-13,1170.0,1200.0,1098.6,1200.0,15826
2024-08-14,1176.0,1294.0,1151.5,1294.0,15271
2024-08-15,1295.0,1295.0,1221.0,1230.2,10751
2024-08-18,1250.0,1324.0,1231.0,1270.0,14328
2024-08-19,1244.6,1319.0,1230.0,1250.0,14944
2024-08-20,1225.0,1345.0,1188.0,1269.0,21374
2024-08-21,1243.7,1243.7,1201.0,1225.0,4480
2024-08-22,1220.0,1220.0,1185.0,1189.9,15602
2024-08-25,1189.9,1189.9,1145.0,1145.1,13029
2024-08-26,1131.0,1144.0,1090.0,1109.6,13020
2024-08-27,1100.0,1130.0,1080.0,1130.0,13447
2024-08-28,1131.0,1220.0,1110.0,1170.1,14424
2024-08-29,1193.5,1200.0,1127.0,1170.0,10522
2024-09-01,1170.0,1175.0,1111.1,1144.9,5482
2024-09-02,1130.0,1138.0,1103.0,1138.0,7154
2024-09-03,1117.0,1134.4,1080.0,1081.0,11424
2024-09-04,1100.0,1134.2,1075.0,1134.2,7886
2024-09-05,1134.0,1140.0,1111.0,1116.0,3903
2024-09-08,1120.1,1150.0,1090.0,1095.0,8224
2024-09-09,1080.0,1144.4,1080.0,1115.0,9512
2024-09-10,1137.0,1181.9,1115.0,1143.0,12485
2024-09-11,1155.0,1165.0,1103.7,1104.0,5094
2024-09-12,1120.0,1125.0,1078.0,1081.0,5292
2024-09-15,1075.1,1100.0,1075.1,1077.1,4988
2024-09-16,1077.4,1106.0,1055.0,1089.0,5989
2024-09-17,1110.0,1110.0,1065.4,1066.0,5008
2024-09-18,1066.0,1070.0,1031.0,1031.1,6402
