TimeStamp,o,h,l,c,v
2024-01-01,520.0,525.0,520.0,521.0,147
2024-01-02,515.1,521.0,515.0,521.0,564
2024-01-03,520.0,521.0,508.0,508.0,721
2024-01-04,508.0,518.0,508.0,516.0,378
2024-01-07,516.0,526.3,508.1,510.0,296
2024-01-08,501.0,514.0,501.0,506.0,461
2024-01-09,500.1,510.0,500.1,510.0,525
2024-01-10,520.2,540.6,519.9,538.7,4183
2024-01-11,538.7,565.0,529.0,565.0,1677
2024-01-14,575.0,575.9,544.0,545.0,2028
2024-01-15,555.0,563.8,540.1,544.0,1000
2024-01-16,534.0,560.0,534.0,559.0,1021
2024-01-17,570.0,604.0,551.3,603.9,5279
2024-01-18,601.0,640.0,596.0,616.0,4653
2024-01-21,621.0,621.0,596.0,617.0,1692
2024-01-22,615.0,615.0,582.0,598.0,3257
2024-01-23,589.0,600.5,580.0,588.0,2980
2024-01-24,580.1,582.0,566.3,570.0,3169
2024-01-25,558.6,581.4,558.6,580.0,1130
2024-01-28,572.0,595.0,572.0,573.2,2209
2024-01-29,573.2,584.6,554.0,561.0,1375
2024-01-30,551.0,568.0,550.1,565.0,1046
2024-01-31,557.0,585.0,556.0,570.2,3281
2024-02-01,559.0,570.0,559.0,570.0,1028
2024-02-04,565.1,576.0,565.1,576.0,705
2024-02-05,587.0,597.9,573.1,582.0,2358
2024-02-06,593.6,612.0,583.1,595.3,4367
2024-02-07,585.1,600.0,585.0,594.0,1809
2024-02-08,600.0,628.7,600.0,601.0,2009
2024-02-11,608.0,620.0,608.0,619.0,4702
2024-02-12,611.0,655.0,611.0,613.0,6662
2024-02-13,602.3,638.0,602.2,620.0,8564
2024-02-14,620.0,636.0,608.2,613.5,2160
2024-02-15,613.5,623.0,598.6,617.0,6321
2024-02-18,606.0,618.0,605.7,606.0,982
2024-02-19,595.1,609.0,595.1,597.1,1506
2024-02-20,600.0,656.0,600.0,607.0,2157
2024-02-21,610.0,634.5,603.0,630.0,2351
2024-02-22,625.5,638.0,617.5,620.0,1260
2024-02-25,631.9,631.9,613.1,614.9,706
2024-02-26,620.0,624.9,605.1,605.2,2167
2024-02-27,595.1,605.0,593.1,594.0,4064
2024-02-28,599.0,604.0,590.1,600.0,2516
2024-02-29,600.0,619.8,595.0,619.8,2753
2024-03-03,619.0,621.0,607.7,620.0,1846
2024-03-04,620.0,640.0,618.0,625.1,4179
2024-03-05,637.4,637.6,624.9,627.0,1708
2024-03-06,621.3,635.0,621.3,625.7,1617
2024-03-07,618.0,640.0,618.0,626.0,3717
2024-03-10,620.0,632.0,610.0,610.0,2681
2024-03-11,622.2,626.0,612.0,621.0,2017
2024-03-12,611.0,629.8,611.0,626.5,1778
2024-03-13,626.0,628.0,616.2,618.9,1718
2024-03-14,613.0,625.0,613.0,618.0,1293
2024-03-17,614.2,622.0,614.0,617.2,1633
2024-03-18,618.0,622.0,616.5,616.5,3114
2024-03-19,616.5,616.5,601.0,607.0,1868
2024-03-20,607.0,610.0,600.0,605.0,1618
2024-03-21,605.0,610.1,597.0,605.0,512
2024-03-24,617.1,617.1,605.0,610.0,1230
2024-03-25,600.1,613.0,600.1,602.5,1019
2024-03-26,614.5,614.5,585.0,600.0,842
2024-03-27,612.0,636.0,605.1,608.0,2391
2024-03-28,610.0,619.0,607.0,609.5,1356
2024-03-31,620.0,620.0,605.0,612.0,443
2024-04-01,606.1,650.9,606.1,640.0,6603
2024-04-02,630.0,683.0,628.1,680.0,9573
2024-04-03,671.0,693.0,655.0,690.0,4900
2024-04-04,679.0,693.7,657.0,688.5,7938
2024-04-07,675.0,690.1,675.0,677.1,5640
2024-04-08,670.0,683.0,670.0,675.0,4208
2024-04-09,688.5,724.0,688.5,712.0,10681
2024-04-10,724.0,783.2,724.0,765.0,18807
2024-04-11,765.0,778.0,715.5,747.0,3915
2024-04-14,745.0,747.0,707.0,716.5,5710
