TimeStamp,o,h,l,c,v
2024-01-01,236.6,242.9,236.6,239.0,14293
2024-01-02,236.0,243.0,236.0,240.0,7552
2024-01-03,239.9,240.0,236.0,238.0,10287
2024-01-04,240.0,240.0,235.1,236.0,10646
2024-01-07,236.1,240.5,236.1,239.0,16898
2024-01-08,243.7,248.5,243.7,248.5,60
2024-01-09,253.4,258.0,245.0,246.0,36977
2024-01-10,246.2,252.0,242.0,245.4,68084
2024-01-11,250.3,251.5,246.0,246.7,31055
2024-01-14,242.6,249.0,242.6,248.0,13670
2024-01-15,243.1,249.8,243.1,248.5,25584
2024-01-16,250.0,255.0,247.0,251.0,44779
2024-01-17,250.0,262.2,250.0,261.0,62432
2024-01-18,256.0,267.2,256.0,261.3,57332
2024-01-21,261.0,264.0,255.3,256.0,39429
2024-01-22,259.0,260.0,253.1,253.5,44028
2024-01-23,258.5,258.5,248.5,249.6,15367
2024-01-24,249.0,249.9,245.3,247.0,19671
2024-01-25,251.0,251.0,246.2,248.9,33313
2024-01-28,249.0,249.0,245.0,248.5,34706
2024-01-29,248.0,248.0,243.1,246.9,17254
2024-01-30,247.0,249.9,244.0,245.0,30433
2024-01-31,245.0,246.0,241.0,243.4,39659
2024-02-01,248.0,248.0,241.0,243.7,15763
2024-02-04,248.0,248.0,243.1,245.1,29582
2024-02-05,245.0,248.0,244.0,245.0,31999
2024-02-06,244.1,246.1,242.5,245.0,13027
2024-02-07,246.1,247.0,243.7,245.9,25759
2024-02-08,245.9,252.0,245.0,246.8,43763
2024-02-11,247.2,251.0,245.0,247.0,76378
2024-02-12,246.0,250.0,243.1,247.0,29336
2024-02-13,247.0,248.2,243.4,243.9,48190
2024-02-14,243.0,248.0,243.0,244.0,45887
2024-02-15,242.1,246.9,242.1,245.2,21982
2024-02-18,245.0,247.0,242.3,245.5,25650
2024-02-19,244.5,247.0,244.5,245.1,35252
2024-02-20,245.0,248.0,244.0,245.0,23496
2024-02-21,249.5,249.5,245.1,246.5,22283
2024-02-22,249.5,249.5,244.5,245.5,17528
2024-02-25,245.0,247.4,243.2,243.2,16597
2024-02-26,242.0,242.5,240.1,240.5,18935
2024-02-27,245.0,245.0,239.2,240.5,21433
2024-02-28,240.0,242.5,239.0,242.0,19382
2024-02-29,244.9,244.9,240.0,240.7,12116
2024-03-03,245.5,245.5,239.0,241.0,22381
2024-03-04,239.0,242.0,239.0,242.0,19510
2024-03-05,240.0,240.0,233.6,236.8,42535
2024-03-06,237.2,239.0,235.2,238.0,17401
2024-03-07,238.0,238.0,231.3,231.3,23082
2024-03-10,232.0,235.0,230.1,233.0,19694
2024-03-11,230.1,236.7,230.0,236.7,42526
2024-03-12,233.0,235.9,230.0,230.6,48129
2024-03-13,230.0,234.5,230.0,230.0,31788
2024-03-14,233.0,234.4,229.3,230.3,11891
2024-03-17,230.0,232.0,228.9,229.0,15542
2024-03-18,230.0,230.0,227.1,227.1,22617
2024-03-19,228.0,230.0,225.1,228.0,14222
2024-03-20,226.2,229.9,226.0,227.0,15986
2024-03-21,231.0,231.0,226.2,228.0,10145
2024-03-24,227.0,228.0,225.1,225.8,16986
2024-03-25,230.0,230.0,223.0,224.0,14194
2024-03-26,228.0,237.4,228.0,237.4,530
2024-03-27,242.1,242.1,228.6,229.5,22320
2024-03-28,229.5,231.0,225.5,228.3,22025
2024-03-31,229.0,229.9,226.1,228.1,23094
2024-04-01,232.6,236.0,228.0,231.0,12089
2024-04-02,235.0,239.7,231.2,239.7,34642
2024-04-03,240.0,242.0,235.0,236.0,14493
2024-04-04,236.0,236.0,231.4,233.5,23461
2024-04-07,233.0,235.0,230.0,235.0,26682
2024-04-08,239.7,239.7,234.0,235.0,21615
2024-04-09,235.0,236.0,232.0,234.4,24816
2024-04-10,239.0,239.0,230.2,234.5,21729
2024-04-11,230.1,238.0,230.0,235.0,18890
2024-04-14,235.0,235.0,230.3,233.5,30270
2024-04-15,234.0,235.0,231.2,233.5,24395
2024-04-16,233.5,234.4,228.5,230.1,35243
2024-04-17,234.7,234.7,228.4,230.0,17792
2024-04-18,228.0,232.0,227.4,228.4,12071
2024-04-21,228.0,230.0,225.0,228.0,29683
2024-04-22,232.5,232.5,225.3,228.0,14167
2024-04-23,230.0,230.0,226.0,230.0,27641
2024-04-24,226.1,227.5,226.0,226.2,16873
2024-04-25,227.0,229.0,225.1,228.0,23508
2024-04-28,228.0,230.0,226.0,227.5,14615
2024-04-29,230.0,230.0,226.6,227.0,16651
2024-04-30,225.0,229.0,224.0,226.1,34920
2024-05-01,226.0,228.0,224.5,225.0,11054
2024-05-02,225.1,226.0,223.0,223.6,9690
2024-05-05,225.0,225.0,223.0,223.4,8650
2024-05-06,227.8,234.0,225.0,233.0,50829
2024-05-07,234.0,235.0,229.0,229.4,20603
2024-05-08,230.0,231.9,228.1,229.5,18242
2024-05-09,229.0,232.9,227.5,230.0,13249
2024-05-12,228.1,250.9,226.1,235.5,30349
2024-05-13,240.2,240.2,232.0,236.2,25653
2024-05-14,240.9,240.9,235.0,240.0,35982
2024-05-15,244.8,244.8,238.0,241.0,68990
2024-05-16,238.0,240.0,234.5,239.0,22003
2024-05-19,239.8,240.0,235.0,235.5,22081
2024-05-20,235.1,237.9,235.0,237.1,20390
2024-05-21,236.5,236.8,228.0,233.0,7893
2024-05-22,236.8,241.5,233.1,239.0,37949
2024-05-23,243.7,243.7,234.4,239.0,14870
2024-05-26,243.7,246.0,235.0,245.0,51018
2024-05-27,249.9,249.9,242.5,245.0,13509
2024-05-28,241.1,247.0,240.1,244.0,24472
2024-05-29,248.8,248.8,239.0,241.1,24081
2024-05-30,245.9,260.1,242.0,254.0,67790
2024-06-02,259.0,265.1,254.0,261.1,147012
2024-06-03,266.3,266.3,260.1,261.5,38353
2024-06-04,258.0,287.6,258.0,280.0,168134
2024-06-05,285.0,285.6,276.0,277.5,93070
2024-06-06,277.5,280.0,272.0,277.0,63787
2024-06-09,282.5,292.9,267.0,270.0,55763
2024-06-10,267.0,267.3,260.0,261.0,30737
2024-06-11,264.9,265.6,258.1,265.0,36533
2024-06-12,270.3,270.3,261.2,262.0,26425
2024-06-13,267.2,267.2,258.0,266.9,39795
2024-06-16,272.2,272.2,262.4,264.0,16572
2024-06-17,268.5,268.5,260.0,261.9,23243
2024-06-18,267.1,267.1,255.0,255.0,30419
2024-06-19,260.1,260.1,249.9,254.0,38941
2024-06-20,259.0,261.0,254.0,259.0,26904
2024-06-23,263.0,282.9,259.6,269.0,35200
2024-06-24,269.0,269.0,264.6,266.0,17533
2024-06-25,270.0,270.0,261.2,268.0,33067
2024-06-26,267.9,267.9,261.5,261.5,19809
2024-06-27,266.7,266.7,261.1,263.0,8129
2024-06-30,258.0,265.0,258.0,261.0,14554
2024-07-01,258.1,287.1,258.0,260.0,22427
2024-07-02,265.2,286.0,257.1,265.0,41247
2024-07-03,266.0,267.0,261.0,262.5,22605
2024-07-04,260.1,264.0,260.0,263.0,7484
2024-07-07,260.1,265.0,260.0,261.0,28727
2024-07-08,262.0,262.9,257.3,259.0,17310
2024-07-09,256.0,268.0,256.0,267.5,62619
2024-07-10,272.8,286.6,268.4,272.0,87848
2024-07-11,272.0,274.9,262.0,271.0,41796
2024-07-14,270.0,275.0,267.1,272.9,86098
2024-07-15,271.0,283.0,271.0,281.1,106759
2024-07-16,282.0,286.4,279.4,280.5,49865
2024-07-17,286.1,287.5,278.0,285.2,274360
2024-07-18,283.0,288.0,282.0,286.5,42559
2024-07-21,288.1,291.8,286.0,291.0,139159
2024-07-22,296.8,308.0,294.0,298.5,113142
2024-07-23,304.4,308.0,290.2,294.0,115912
2024-07-24,299.0,320.0,288.8,310.0,270358
2024-07-25,316.2,316.2,305.0,314.0,147540
2024-07-28,314.1,340.0,309.0,331.8,213901
2024-07-29,332.0,340.0,321.6,335.0,304300
2024-07-30,335.0,335.0,323.4,330.0,151988
2024-07-31,330.0,350.0,324.0,343.5,237532
2024-08-01,343.0,347.0,337.2,341.5,194863
2024-08-04,337.5,354.0,337.0,352.0,222739
2024-08-05,359.0,387.2,359.0,387.2,671424
2024-08-06,394.9,400.0,374.0,377.0,296529
2024-08-07,384.5,384.5,362.0,377.0,230971
2024-08-08,373.0,384.9,370.1,376.4,287817
2024-08-11,383.0,383.0,369.5,369.8,302530
