TimeStamp,o,h,l,c,v
2024-01-01,3926.9,3926.9,3814.0,3899.0,230
2024-01-02,3755.1,3830.0,3746.0,3825.0,364
2024-01-03,3835.0,3840.0,3790.0,3825.0,124
2024-01-04,3810.0,3820.0,3675.0,3819.0,188
2024-01-07,3775.0,3775.0,3743.0,3770.0,115
2024-01-08,3710.0,3710.0,3410.4,3410.6,544
2024-01-09,3478.8,3680.0,3478.8,3548.3,386
2024-01-10,3619.2,3685.0,3481.0,3550.6,315
2024-01-11,3621.6,3737.0,3621.6,3676.0,462
2024-01-14,3680.0,3900.0,3680.0,3890.0,354
2024-01-15,3943.0,3967.0,3804.0,3804.0,440
2024-01-16,3880.0,3955.0,3820.0,3830.0,90
2024-01-17,3830.0,3888.0,3750.0,3750.0,151
2024-01-18,3760.0,3930.0,3760.0,3865.0,833
2024-01-21,3942.0,3942.0,3841.0,3900.0,379
2024-01-22,3900.0,4100.0,3900.0,4070.0,1885
2024-01-23,4125.0,4275.0,4125.0,4156.1,1359
2024-01-24,4156.1,4199.0,4073.1,4098.0,1810
2024-01-25,4099.0,4099.0,3870.0,3900.0,931
2024-01-28,3977.0,3977.0,3865.0,3865.0,306
2024-01-29,3942.3,3998.0,3843.0,3850.0,181
2024-01-30,3850.0,3850.0,3775.2,3775.2,185
2024-01-31,3775.2,3850.0,3775.2,3778.0,265
2024-02-01,3853.5,3853.5,3789.0,3839.0,295
2024-02-04,3838.0,3839.0,3765.0,3765.0,150
2024-02-05,3840.0,3875.0,3765.0,3875.0,722
2024-02-06,3860.0,3937.0,3850.0,3864.0,563
2024-02-07,3864.0,3880.0,3864.0,3870.0,180
2024-02-08,3809.0,3830.0,3807.0,3830.0,92
2024-02-11,3806.3,3877.0,3805.1,3877.0,145
2024-02-12,3870.0,3940.0,3850.0,3861.2,956
2024-02-13,3878.0,3930.0,3850.0,3851.0,503
2024-02-14,3855.0,3860.0,3774.0,3830.0,294
2024-02-15,3888.0,3888.0,3711.0,3715.0,473
2024-02-18,3750.0,3750.0,3650.0,3720.0,233
2024-02-19,3655.0,3725.0,3655.0,3655.0,132
2024-02-20,3700.0,3728.1,3680.0,3680.0,120
2024-02-21,3700.0,3727.0,3651.0,3655.0,324
2024-02-22,3700.0,3710.0,3674.0,3674.0,50
2024-02-25,3656.0,3700.0,3656.0,3677.0,215
2024-02-26,3710.0,3964.0,3700.0,3959.0,458
2024-02-27,3879.9,3879.9,3879.9,3879.9,10
2024-02-28,3802.4,3802.4,3666.0,3672.0,788
2024-02-29,3700.0,3730.0,3681.0,3686.1,240
2024-03-03,3680.0,3759.8,3680.0,3694.0,199
2024-03-04,3665.0,3750.0,3665.0,3738.0,60
2024-03-05,3760.0,3760.0,3671.0,3710.0,100
2024-03-06,3700.0,3700.0,3656.2,3700.0,125
2024-03-07,3720.0,3750.0,3675.0,3700.0,345
2024-03-10,3700.0,3710.0,3640.0,3710.0,342
2024-03-11,3700.0,3700.0,3635.8,3635.8,359
2024-03-12,3620.0,3622.0,3548.0,3570.0,204
2024-03-13,3530.5,3531.0,3530.1,3530.2,80
2024-03-14,3600.8,3600.8,3540.0,3560.0,68
2024-03-17,3625.0,3750.0,3610.0,3650.0,1006
2024-03-18,3660.0,3699.0,3577.0,3621.0,169
2024-03-19,3562.1,3633.0,3562.0,3590.0,150
2024-03-20,3661.7,3661.8,3525.0,3660.0,164
2024-03-21,3709.0,4026.0,3709.0,4026.0,3924
2024-03-24,4106.5,4427.0,4106.5,4161.0,5573
2024-03-25,4081.0,4320.0,3884.0,4000.0,1287
2024-03-26,4080.0,4080.0,4080.0,4080.0,10
2024-03-27,4155.0,4155.0,3800.0,3865.0,1246
2024-03-28,3942.0,4010.0,3860.0,3941.0,464
2024-03-31,3900.0,3989.9,3786.0,3979.8,985
2024-04-01,3980.0,3980.0,3862.1,3915.0,524
2024-04-02,3993.0,3995.0,3866.8,3993.0,969
2024-04-03,4072.8,4072.8,3872.0,3949.0,618
2024-04-04,3900.0,3900.0,3835.9,3900.0,215
2024-04-07,3830.1,3964.9,3830.1,3899.8,236
2024-04-08,3850.0,3894.0,3845.0,3894.0,446
2024-04-09,3970.9,3970.9,3836.0,3845.0,120
2024-04-10,3846.0,3850.0,3813.0,3843.9,503
2024-04-11,3918.0,3918.0,3770.0,3825.0,450
2024-04-14,3800.0,3850.0,3800.0,3815.0,280
2024-04-15,3875.0,3875.0,3800.0,3800.0,130
2024-04-16,3802.0,3839.9,3751.0,3839.9,724
2024-04-17,3772.5,3830.0,3772.0,3830.0,56
2024-04-18,3850.0,3850.0,3775.0,3775.0,89
2024-04-21,3843.0,3845.9,3775.1,3775.1,130
2024-04-22,3850.0,3927.0,3802.4,3879.9,125
2024-04-23,3805.0,3878.0,3800.0,3800.0,223
2024-04-24,3801.0,3825.0,3801.0,3825.0,103
2024-04-25,3875.0,3875.0,3785.0,3785.0,65
2024-04-28,3860.7,3860.7,3760.0,3850.0,82
2024-04-29,3781.0,3830.0,3681.0,3681.0,1055
2024-04-30,3680.0,3854.0,3665.0,3848.0,255
2024-05-01,3773.0,3800.0,3701.0,3721.6,464
2024-05-02,3650.0,3730.0,3650.0,3700.0,350
2024-05-05,3700.0,3700.0,3680.0,3700.0,110
2024-05-06,3765.0,3765.0,3640.0,3760.0,445
2024-05-07,3785.0,3785.0,3785.0,3785.0,10
2024-05-08,3709.3,3779.0,3700.0,3779.0,150
2024-05-09,3730.0,3730.0,3691.0,3700.0,350
2024-05-12,3699.0,3720.0,3671.0,3672.0,176
2024-05-13,3745.4,3745.4,3688.0,3688.0,199
2024-05-14,3660.5,3759.0,3660.1,3700.0,160
2024-05-15,3700.0,3760.0,3691.0,3691.0,160
2024-05-16,3651.6,3726.0,3635.0,3726.0,497
2024-05-19,3771.0,3800.0,3651.1,3699.8,190
2024-05-20,3723.0,3724.0,3670.0,3709.0,155
2024-05-21,3783.1,3858.6,3634.0,3737.0,251
2024-05-22,3784.0,3784.0,3650.0,3749.0,225
2024-05-23,3690.0,3751.0,3680.0,3700.0,182
2024-05-26,3631.0,3732.0,3631.0,3732.0,265
2024-05-27,3750.0,3750.0,3708.0,3742.0,75
2024-05-28,3788.0,3788.0,3700.0,3728.9,200
2024-05-29,3701.0,3740.0,3699.0,3700.0,297
2024-05-30,3774.0,3830.0,3715.1,3780.1,747
2024-06-02,3796.0,3796.0,3737.0,3750.0,100
2024-06-03,3750.0,3778.0,3740.0,3775.0,216
2024-06-04,3715.5,3778.0,3715.5,3725.0,205
2024-06-05,3730.8,3770.0,3711.1,3711.1,205
2024-06-06,3700.0,3800.0,3700.0,3752.2,500
2024-06-09,3825.0,3970.0,3822.0,3846.0,853
2024-06-10,3875.0,3875.0,3756.2,3756.2,350
