TimeStamp,o,h,l,c,v
2024-01-01,308.75,308.75,294.17,295.88,66481
2024-01-02,301.03,303.6,283.88,301.89,47450
2024-01-03,302.32,305.32,295.45,296.74,55196
2024-01-04,296.74,296.74,286.79,287.74,63022
2024-01-07,283.88,291.6,283.02,288.08,42962
2024-01-08,283.96,293.31,283.96,290.74,26769
2024-01-09,295.88,296.74,289.02,291.6,53099
2024-01-10,295.88,296.74,293.31,295.03,34371
2024-01-11,292.45,293.31,287.31,292.97,27522
2024-01-14,295.88,299.31,289.02,290.74,18283
2024-01-15,287.74,291.6,283.02,283.02,44294
2024-01-16,283.02,283.02,269.38,271.87,63948
2024-01-17,272.73,283.88,272.73,277.02,43272
2024-01-18,282.16,282.5,271.01,271.27,51762
2024-01-21,271.87,274.44,267.67,273.58,25194
2024-01-22,277.87,286.45,274.44,286.02,33141
2024-01-23,291.68,308.75,291.68,307.03,157153
2024-01-24,313.12,314.75,300.17,305.32,70922
2024-01-25,306.17,307.03,300.17,304.46,31364
2024-01-28,304.46,306.17,298.46,301.89,48640
2024-01-29,301.89,301.89,296.74,297.6,53464
2024-01-30,297.6,301.89,291.6,294.85,59874
2024-01-31,290.74,295.63,290.74,294.17,47939
2024-02-01,299.31,300.0,289.88,289.88,42337
2024-02-04,289.88,289.88,284.73,286.45,46748
2024-02-05,286.45,287.31,280.7,280.7,56707
2024-02-06,279.59,283.88,274.44,283.88,38623
2024-02-07,289.45,294.17,280.45,283.88,50699
2024-02-08,284.73,289.88,278.73,289.88,46798
2024-02-11,293.31,293.31,289.88,291.6,40000
2024-02-12,292.45,293.31,286.45,286.54,34388
2024-02-13,286.54,290.74,285.59,289.88,34696
2024-02-14,289.88,293.05,289.88,291.34,51675
2024-02-15,293.74,293.74,287.31,289.02,37507
2024-02-18,291.6,291.6,283.02,288.59,36015
2024-02-19,289.88,295.88,288.16,292.45,157242
2024-02-20,287.74,287.74,277.36,278.3,74634
2024-02-21,277.36,279.06,270.85,273.58,28744
2024-02-22,274.53,274.53,263.49,266.04,28457
2024-02-25,268.87,268.87,262.83,263.21,32857
2024-02-26,263.21,264.15,254.72,256.6,38523
2024-02-27,256.6,259.43,246.98,247.17,33716
2024-02-28,245.28,251.89,237.74,251.89,36248
2024-02-29,256.89,258.49,252.83,252.92,30787
2024-03-03,250.0,252.83,248.02,250.0,19994
2024-03-04,250.0,250.94,245.0,247.64,23833
2024-03-05,249.06,249.06,235.94,236.89,36608
2024-03-06,235.85,235.85,226.6,232.08,31386
2024-03-07,235.85,243.4,232.08,243.4,20108
2024-03-10,248.11,254.72,241.79,244.25,39072
2024-03-11,244.25,244.25,238.68,239.62,21503
2024-03-12,244.34,244.34,232.36,233.96,29390
2024-03-13,237.74,240.57,235.85,239.62,23675
2024-03-14,244.34,249.06,240.57,246.23,32410
2024-03-17,251.13,252.83,245.28,249.06,32047
2024-03-18,250.94,255.94,250.19,255.66,47457
2024-03-19,254.72,259.43,251.89,252.83,36037
2024-03-20,250.94,252.83,245.0,247.17,21945
2024-03-21,251.89,251.98,247.17,250.0,25584
2024-03-24,250.0,254.53,246.32,253.77,21592
2024-03-25,253.77,258.77,250.94,258.49,32290
2024-03-26,259.43,274.53,257.64,274.53,59764
2024-03-27,280.0,280.0,266.04,266.04,47134
2024-03-28,265.09,275.47,265.09,275.38,43100
2024-03-31,278.3,283.87,276.51,283.87,58429
2024-04-01,283.96,287.26,276.51,279.25,57373
2024-04-02,278.3,281.13,275.47,280.19,32036
2024-04-03,280.19,285.85,275.47,281.13,64071
2024-04-04,283.02,283.02,273.58,283.02,48560
2024-04-07,288.68,300.0,287.83,299.43,137560
2024-04-08,302.83,302.83,297.17,299.91,39437
2024-04-09,300.0,311.32,294.34,301.79,90351
2024-04-10,307.55,307.55,297.17,300.0,47069
2024-04-11,294.81,299.06,292.45,299.06,41551
2024-04-14,305.0,305.0,290.47,290.66,39106
2024-04-15,296.42,296.42,278.3,282.92,61509
2024-04-16,288.49,288.49,271.98,279.25,44713
2024-04-17,278.3,278.3,271.32,271.89,32678
2024-04-18,273.58,273.58,268.96,268.96,26226
2024-04-21,270.75,285.85,270.75,281.13,42488
2024-04-22,283.02,283.02,275.47,275.57,17442
2024-04-23,278.3,280.19,273.58,277.83,26993
2024-04-24,283.02,287.74,275.47,275.66,27569
2024-04-25,275.47,278.3,271.7,274.53,31463
2024-04-28,269.15,275.47,269.15,273.58,38993
2024-04-29,276.42,283.96,270.75,270.75,28357
2024-04-30,270.75,274.53,268.87,270.75,34595
2024-05-01,275.47,275.47,266.98,269.81,31322
2024-05-02,266.04,266.98,261.32,263.21,36018
2024-05-05,260.38,265.66,258.49,261.32,30133
2024-05-06,259.43,264.62,259.43,264.62,29725
2024-05-07,264.15,267.92,260.38,266.04,17973
2024-05-08,264.15,268.87,263.58,263.58,22271
2024-05-09,261.32,261.32,256.32,256.6,35074
2024-05-12,256.42,259.43,255.66,259.43,22471
2024-05-13,263.21,263.21,258.49,261.32,24183
2024-05-14,259.43,260.38,258.49,259.43,18348
2024-05-15,257.55,258.49,251.98,253.3,44553
2024-05-16,252.83,254.62,250.09,250.94,30673
2024-05-19,253.77,255.66,248.3,248.4,23255
