TimeStamp,o,h,l,c,v
2024-01-01,108.44,108.44,108.44,108.44,60
2024-01-02,106.5,106.5,106.5,106.5,40
2024-01-03,108.43,108.43,106.5,106.5,130
2024-01-04,104.57,104.57,100.69,100.69,1871
2024-01-07,102.63,102.63,100.69,100.69,220
2024-01-08,101.66,102.63,101.66,102.63,300
2024-01-09,100.69,102.63,100.69,102.63,398
2024-01-10,101.66,101.66,101.66,101.66,200
2024-01-11,101.66,101.66,101.66,101.66,100
2024-01-14,101.66,101.66,101.66,101.66,100
2024-01-15,103.59,103.59,103.59,103.59,210
2024-01-16,103.59,103.59,103.59,103.59,40
2024-01-17,103.59,105.53,103.59,105.53,1050
2024-01-18,105.53,105.53,103.63,103.63,50
2024-01-21,103.63,103.63,103.63,103.63,740
2024-01-22,103.64,103.64,101.74,101.74,1000
2024-01-23,101.74,103.64,101.74,103.64,292
2024-01-24,103.63,105.53,103.63,105.53,300
2024-01-25,105.53,105.53,105.53,105.53,300
2024-01-28,105.54,105.54,103.63,103.63,80
2024-01-29,103.63,113.14,103.63,113.14,938
2024-01-30,113.13,120.74,113.13,120.74,600
2024-01-31,120.74,128.34,120.74,126.44,3600
2024-02-01,126.44,128.34,126.44,126.44,490
2024-02-04,126.44,126.44,116.93,116.93,50
2024-02-05,116.93,116.93,105.52,105.52,6710
2024-02-06,105.52,106.47,105.52,106.47,500
2024-02-07,104.57,106.47,102.67,102.67,80
2024-02-08,100.77,102.67,98.87,98.87,3420
2024-02-11,97.92,98.87,96.97,96.97,370
2024-02-12,95.07,96.97,95.07,95.07,10
2024-02-13,96.02,96.02,94.12,94.12,1950
2024-02-14,95.07,95.07,94.12,95.07,50
2024-02-15,93.17,95.07,93.17,93.17,10
2024-02-18,94.12,94.12,93.17,93.17,220
2024-02-19,92.22,93.17,90.32,90.32,1290
2024-02-20,91.27,91.27,90.32,91.27,84
2024-02-21,90.32,91.27,90.32,90.32,500
2024-02-22,91.27,91.27,90.32,90.32,1050
2024-02-25,89.37,90.32,89.37,89.37,400
2024-02-26,90.32,90.32,89.36,90.32,200
2024-02-27,90.31,91.26,89.36,91.26,2630
2024-02-28,91.26,92.22,90.3,92.22,2630
2024-02-29,93.18,93.18,92.22,92.22,1687
2024-03-03,93.18,96.06,92.22,94.14,300
2024-03-04,93.16,94.14,93.16,93.16,10
2024-03-05,94.14,94.14,93.16,93.16,70
2024-03-06,94.14,94.14,94.14,94.14,10
2024-03-07,94.14,94.14,94.14,94.14,20
2024-03-10,95.12,95.12,95.12,95.12,10
2024-03-11,96.1,98.06,95.12,95.12,330
2024-03-12,96.1,96.1,96.1,96.1,10
2024-03-13,96.1,98.06,97.08,98.06,1070
2024-03-14,96.1,96.1,94.14,94.14,47
2024-03-17,95.11,98.05,95.11,97.07,420
2024-03-18,98.05,98.05,97.07,97.07,1060
2024-03-19,97.07,99.03,97.07,99.03,718
2024-03-20,99.03,99.03,97.07,97.07,300
2024-03-21,97.07,98.05,98.05,98.05,20
2024-03-24,98.05,98.05,98.05,98.05,50
2024-03-25,100.02,100.02,98.05,99.03,140
2024-03-26,101.0,101.0,101.0,101.0,10
2024-03-27,101.0,101.98,99.04,100.02,1010
2024-03-28,100.02,100.02,100.02,100.02,68
2024-03-31,101.98,101.98,101.98,101.98,10
2024-04-01,100.02,100.02,100.02,100.02,200
2024-04-02,98.06,98.06,98.06,98.06,10
2024-04-03,96.1,96.1,96.1,96.1,80
2024-04-04,95.12,95.12,95.12,95.12,50
2024-04-07,94.14,94.14,93.16,93.16,1450
2024-04-08,94.14,95.12,94.14,95.12,20
2024-04-09,95.12,96.1,95.12,96.1,520
2024-04-10,97.08,98.06,97.08,98.06,390
2024-04-11,100.02,100.02,100.02,100.02,360
2024-04-14,100.02,100.02,98.06,98.06,460
2024-04-15,100.02,100.02,95.12,95.12,4210
2024-04-16,94.14,94.14,90.22,94.14,10060
2024-04-17,94.14,102.96,94.14,102.96,14638
2024-04-18,104.93,104.93,101.01,101.01,919
2024-04-21,99.05,101.01,99.05,99.05,129
2024-04-22,99.05,99.05,97.09,97.09,520
2024-04-23,97.09,98.07,97.09,98.07,270
2024-04-24,100.03,103.95,98.07,102.97,1464
2024-04-25,101.01,101.99,99.04,100.03,3870
2024-04-28,98.06,99.05,98.06,98.06,1840
2024-04-29,98.06,98.06,98.06,98.06,604
2024-04-30,100.03,102.97,98.06,98.06,2060
2024-05-01,98.06,106.89,98.06,105.91,2460
2024-05-02,104.93,104.93,101.01,101.01,8895
2024-05-05,100.03,100.03,100.03,100.03,20
2024-05-06,101.99,101.99,101.01,101.01,150
2024-05-07,102.97,102.97,100.03,100.03,1690
2024-05-08,98.07,98.07,98.07,98.07,1000
2024-05-09,100.03,100.03,100.03,100.03,50
2024-05-12,98.07,98.07,98.07,98.07,200
2024-05-13,100.03,100.03,100.03,100.03,1000
2024-05-14,100.03,100.03,100.03,100.03,100
2024-05-15,98.07,98.07,96.11,96.11,3900
2024-05-16,97.09,97.09,97.09,97.09,510
2024-05-19,96.11,96.11,96.11,96.11,114
2024-05-20,97.09,101.99,97.09,100.03,150
2024-05-21,100.03,101.99,100.03,101.99,250
2024-05-22,100.02,100.02,98.06,98.06,1070
2024-05-23,99.04,101.0,99.04,100.02,1800
2024-05-26,98.06,98.06,98.06,98.06,140
2024-05-27,98.06,98.06,98.06,98.06,30
2024-05-28,98.06,98.06,98.06,98.06,120
2024-05-29,99.04,99.04,99.04,99.04,300
2024-05-30,99.04,100.02,99.04,100.02,700
2024-06-02,101.98,104.93,99.04,102.96,6161
2024-06-03,102.96,102.96,101.0,102.96,5310
2024-06-04,102.96,104.92,102.96,104.92,1927
2024-06-05,102.96,104.92,101.0,101.0,1760
2024-06-06,101.0,101.0,99.04,99.04,457
2024-06-09,101.0,101.0,101.0,101.0,398
2024-06-10,99.04,99.04,99.04,99.04,450
2024-06-11,101.0,101.0,101.0,101.0,182
2024-06-12,102.96,104.92,102.96,102.96,1874
2024-06-13,104.92,105.9,102.95,104.92,10660
2024-06-16,106.88,108.84,102.96,103.94,9720
2024-06-17,104.92,104.92,104.92,104.92,1500
2024-06-18,104.92,106.88,104.92,106.88,1890
2024-06-19,104.92,104.92,104.92,104.92,10
2024-06-20,104.92,106.89,104.92,106.89,250
2024-06-23,108.85,111.79,104.93,111.79,10644
2024-06-24,111.79,115.72,111.79,112.78,4154
2024-06-25,113.76,113.76,111.79,111.79,146
2024-06-26,110.82,112.78,110.82,112.78,2070
2024-06-27,114.74,116.7,114.74,114.74,170
2024-06-30,116.7,116.7,115.72,115.72,60
2024-07-01,113.76,113.76,108.85,112.78,4820
2024-07-02,110.81,110.81,105.91,110.81,5867
2024-07-03,111.79,113.75,111.79,113.75,50
2024-07-04,115.71,115.71,115.71,115.71,270
2024-07-07,113.75,113.75,113.75,113.75,200
2024-07-08,111.79,111.79,105.9,105.9,3391
2024-07-09,103.94,103.94,101.98,103.94,100
2024-07-10,102.95,102.95,102.95,102.95,1000
2024-07-11,100.95,100.95,97.95,97.95,4380
2024-07-14,98.95,98.95,98.95,98.95,2500
2024-07-15,99.95,99.95,99.95,99.95,500
2024-07-16,101.95,101.95,101.95,101.95,100
2024-07-17,99.95,100.95,99.95,100.95,210
2024-07-18,99.95,101.95,99.95,101.95,137
2024-07-21,100.95,100.95,100.95,100.95,300
2024-07-22,98.95,98.95,97.95,98.95,600
