TimeStamp,o,h,l,c,v
2024-01-01,140.0,142.7,139.5,142.7,2811
2024-01-02,145.4,145.4,140.6,140.6,3971
2024-01-03,143.4,145.5,139.3,139.5,10067
2024-01-04,139.9,145.3,138.0,138.0,6854
2024-01-07,140.0,143.0,138.0,140.0,8286
2024-01-08,142.8,148.5,142.8,148.5,1050
2024-01-09,151.0,163.0,148.1,150.0,29783
2024-01-10,152.0,156.0,150.1,153.1,10519
2024-01-11,155.0,158.1,152.4,157.8,25777
2024-01-14,160.0,168.1,155.1,167.2,53985
2024-01-15,163.9,182.5,161.1,182.0,42244
2024-01-16,185.6,200.0,171.5,184.0,81620
2024-01-17,187.0,190.7,179.0,186.0,24749
2024-01-18,183.3,195.0,182.3,188.0,40642
2024-01-21,191.6,193.0,181.1,181.3,32991
2024-01-22,182.0,185.1,176.5,176.5,33830
2024-01-23,180.0,182.0,162.2,168.0,26030
2024-01-24,171.3,181.6,164.0,170.0,23720
2024-01-25,173.4,176.0,170.0,170.0,18185
2024-01-28,170.9,171.0,165.0,165.0,11597
2024-01-29,165.0,181.5,165.0,181.5,30269
2024-01-30,185.1,194.0,185.1,186.0,70764
2024-01-31,189.7,194.0,178.0,188.0,28636
2024-02-01,188.0,190.0,183.0,188.8,26351
2024-02-04,189.0,191.0,183.4,186.0,29626
2024-02-05,186.0,201.1,183.0,186.0,19856
2024-02-06,186.0,193.8,182.3,189.4,36283
2024-02-07,193.0,208.3,193.0,208.3,109049
2024-02-08,212.4,229.1,212.4,229.1,59744
2024-02-11,233.6,242.0,212.0,215.0,111765
2024-02-12,210.7,229.0,203.0,223.0,83934
2024-02-13,223.0,229.0,215.6,221.0,66270
2024-02-14,216.8,228.0,213.5,215.0,44329
2024-02-15,211.0,227.0,211.0,216.0,25806
2024-02-18,220.3,224.7,212.7,212.8,24031
2024-02-19,211.0,220.0,209.0,218.5,57793
2024-02-20,220.0,222.8,215.0,219.9,17948
2024-02-21,215.6,223.5,215.6,220.0,30137
2024-02-22,224.3,227.9,215.6,225.8,58223
2024-02-25,230.3,230.3,215.6,216.1,35122
2024-02-26,212.0,215.0,204.9,214.7,42101
2024-02-27,214.7,214.7,208.0,209.0,25085
2024-02-28,213.0,217.0,208.6,210.0,12060
2024-02-29,207.0,213.1,207.0,211.0,11549
2024-03-03,215.2,215.2,209.5,210.0,20347
2024-03-04,213.5,213.5,209.5,212.7,17244
2024-03-05,216.9,216.9,210.0,211.2,13245
2024-03-06,215.0,218.0,209.2,215.2,22207
2024-03-07,211.0,219.0,209.2,211.0,20554
2024-03-10,210.0,217.0,209.0,209.5,19248
2024-03-11,208.0,216.0,208.0,211.0,32372
2024-03-12,213.5,223.0,212.5,217.0,70676
2024-03-13,215.0,219.0,212.2,214.9,7773
2024-03-14,214.0,218.0,209.2,209.9,8586
2024-03-17,214.0,214.0,190.3,201.0,29771
2024-03-18,200.0,204.0,190.0,192.4,21931
2024-03-19,189.0,210.9,189.0,199.0,14998
2024-03-20,202.9,206.0,196.0,198.9,9114
2024-03-21,195.1,202.8,192.0,193.0,14032
2024-03-24,196.8,200.6,188.0,189.0,24382
2024-03-25,187.3,193.0,185.3,190.0,5895
2024-03-26,193.8,197.6,193.8,197.6,30
2024-03-27,201.5,210.1,199.0,199.1,33924
2024-03-28,202.0,205.0,195.2,201.9,11250
2024-03-31,204.0,205.0,200.1,202.4,10654
2024-04-01,205.8,206.2,202.0,204.8,13711
2024-04-02,208.8,210.7,203.0,204.0,16267
2024-04-03,208.0,208.0,203.0,206.0,12590
2024-04-04,204.0,209.0,202.0,202.0,19899
2024-04-07,206.0,206.0,197.5,199.0,14443
2024-04-08,202.9,203.0,195.5,202.0,13111
2024-04-09,202.0,205.5,198.0,202.5,19224
2024-04-10,204.5,205.0,198.5,201.0,7385
2024-04-11,204.0,204.0,197.0,198.0,5175
2024-04-14,196.0,199.0,194.0,194.0,4722
2024-04-15,195.0,199.0,194.7,198.0,6378
2024-04-16,201.0,202.0,194.4,195.6,9511
2024-04-17,193.0,203.8,193.0,194.0,8118
2024-04-18,197.8,201.7,194.0,195.0,6396
2024-04-21,194.1,197.0,192.0,192.0,6587
2024-04-22,195.7,199.0,192.0,196.0,5806
2024-04-23,199.8,199.8,192.1,194.0,7899
2024-04-24,194.0,194.6,191.0,193.0,10046
