TimeStamp,o,h,l,c,v
2024-01-01,475.0,475.0,464.0,471.9,9189
2024-01-02,470.0,470.0,462.5,468.3,9791
2024-01-03,465.2,470.0,465.1,470.0,6166
2024-01-04,477.0,479.0,464.0,470.0,11956
2024-01-07,469.0,476.0,469.0,475.0,11647
2024-01-08,484.5,520.0,484.5,520.0,2993
2024-01-09,528.0,530.0,502.0,503.8,62454
2024-01-10,513.8,513.8,504.0,511.5,60472
2024-01-11,512.0,520.0,511.5,518.0,30557
2024-01-14,519.0,530.0,518.0,523.0,42665
2024-01-15,517.0,523.9,513.1,522.3,39094
2024-01-16,529.0,539.0,523.0,538.0,62981
2024-01-17,538.0,548.0,535.0,546.0,49869
2024-01-18,554.0,560.0,543.9,545.0,43879
2024-01-21,545.0,550.0,525.3,530.1,50049
2024-01-22,530.1,530.1,518.2,521.0,28896
2024-01-23,531.0,531.0,507.0,509.0,31287
2024-01-24,505.1,515.0,505.1,510.0,16733
2024-01-25,509.0,518.0,509.0,512.0,21421
2024-01-28,509.0,509.0,502.0,505.0,36344
2024-01-29,505.0,509.0,500.1,506.1,21410
2024-01-30,508.1,512.0,507.3,507.3,24409
2024-01-31,500.0,508.0,500.0,503.0,38894
2024-02-01,505.0,509.9,502.1,506.0,39068
2024-02-04,506.0,515.0,506.0,512.0,38285
2024-02-05,514.0,527.0,514.0,519.9,51897
2024-02-06,530.0,530.0,516.2,519.0,22910
2024-02-07,525.0,525.7,516.0,524.0,40718
2024-02-08,524.0,530.5,521.6,530.0,33330
2024-02-11,520.3,551.8,520.3,531.0,80086
2024-02-12,526.0,554.0,519.4,554.0,64489
2024-02-13,555.0,555.0,526.0,526.0,96364
2024-02-14,534.0,534.0,522.3,523.0,70924
2024-02-15,521.0,529.0,520.0,523.0,41319
2024-02-18,525.0,529.0,524.0,526.0,44433
2024-02-19,526.0,535.0,523.3,530.1,49908
2024-02-20,532.0,538.1,532.0,537.8,55869
2024-02-21,537.1,544.0,532.0,542.8,60388
2024-02-22,549.5,549.5,537.0,540.0,39286
2024-02-25,540.0,540.0,530.0,534.0,47569
2024-02-26,530.0,539.0,526.0,527.0,39795
2024-02-27,527.0,531.8,522.2,528.1,25855
