TimeStamp,o,h,l,c,v
2024-01-01,530.42,539.53,525.67,532.09,4861
2024-01-02,525.67,549.77,525.58,549.77,6313
2024-01-03,555.35,555.35,533.95,533.95,4110
2024-01-04,530.23,544.56,527.53,544.19,4709
2024-01-07,545.12,551.07,539.53,539.53,8613
2024-01-08,550.33,578.79,550.33,578.6,1169
2024-01-09,590.14,595.35,562.79,579.53,23464
2024-01-10,590.7,594.42,572.09,594.33,18146
2024-01-11,598.05,605.58,586.05,592.56,16137
2024-01-14,581.4,597.77,580.84,597.58,9972
2024-01-15,585.67,611.16,585.67,611.16,19939
2024-01-16,621.4,654.7,611.16,644.65,41999
2024-01-17,637.67,657.4,632.65,651.16,17307
2024-01-18,655.81,657.67,632.56,640.0,24901
2024-01-21,627.91,645.58,617.67,619.53,24831
2024-01-22,631.63,640.0,611.16,613.95,22488
2024-01-23,623.26,629.77,618.6,622.33,28742
2024-01-24,634.0,634.7,608.2,611.7,12146
2024-01-25,611.0,623.0,608.0,608.0,10218
2024-01-28,608.0,617.9,603.0,605.0,3456
2024-01-29,615.0,620.0,591.0,610.0,13269
2024-01-30,615.0,615.0,598.0,599.0,7248
2024-01-31,599.0,613.0,590.0,605.0,39865
2024-02-01,596.0,627.0,595.2,619.0,35765
2024-02-04,623.0,638.9,619.0,631.8,19872
2024-02-05,643.0,656.8,629.2,640.0,30788
2024-02-06,648.9,648.9,633.3,644.0,14446
2024-02-07,650.0,665.0,648.0,665.0,29924
2024-02-08,671.0,684.9,666.0,679.0,24956
2024-02-11,680.0,685.0,662.0,663.0,47981
2024-02-12,649.8,662.0,645.2,652.0,16902
2024-02-13,652.0,655.0,638.0,639.0,22750
2024-02-14,643.9,643.9,622.2,632.9,16452
2024-02-15,633.0,645.0,625.5,637.0,6856
2024-02-18,638.0,647.0,625.0,630.0,5643
2024-02-19,626.2,633.0,617.5,620.0,17136
2024-02-20,615.0,639.8,611.1,635.0,25498
2024-02-21,637.0,644.0,630.0,636.0,7664
2024-02-22,646.5,646.5,625.0,634.0,7686
2024-02-25,630.0,630.0,615.0,623.9,9755
