TimeStamp,o,h,l,c,v
2024-01-01,156.05,160.0,155.35,158.95,3752
2024-01-02,157.05,160.5,157.0,158.0,11716
2024-01-03,158.0,158.0,156.0,156.95,14006
2024-01-04,157.5,157.5,156.05,156.85,1272
2024-01-07,157.0,160.0,156.0,159.5,10733
2024-01-08,161.0,170.35,161.0,170.35,3680
2024-01-09,172.75,175.0,165.0,167.5,51539
2024-01-10,167.5,173.0,165.15,171.5,65795
2024-01-11,173.9,180.5,171.45,179.0,74595
2024-01-14,176.75,187.9,176.5,185.0,82408
2024-01-15,182.3,190.0,180.0,188.5,95422
2024-01-16,190.0,191.0,182.55,184.25,126011
2024-01-17,184.45,185.0,178.4,182.0,39421
2024-01-18,184.5,187.0,179.0,183.45,57740
2024-01-21,180.8,183.45,176.6,176.65,38514
2024-01-22,176.5,183.85,176.0,179.75,46823
2024-01-23,179.5,181.75,176.0,177.5,30894
2024-01-24,180.05,180.05,174.75,175.9,41049
2024-01-25,178.0,178.5,175.0,175.0,28557
2024-01-28,173.0,174.95,170.0,171.95,18916
2024-01-29,172.0,178.5,170.5,175.5,40513
2024-01-30,178.0,186.5,178.0,181.6,149228
2024-01-31,184.2,188.5,180.0,183.4,92863
2024-02-01,185.75,192.5,184.15,189.95,183221
2024-02-04,192.5,198.4,192.0,193.5,148119
2024-02-05,196.0,196.0,186.5,188.8,69217
2024-02-06,190.0,193.8,185.25,192.5,96836
2024-02-07,195.0,205.45,194.25,204.45,217455
2024-02-08,202.5,213.0,200.0,204.5,155397
2024-02-11,205.0,207.0,193.75,195.5,119072
2024-02-12,195.5,203.0,190.5,197.5,71772
2024-02-13,198.05,209.0,198.05,200.0,169380
2024-02-14,200.0,205.0,195.05,197.5,67199
2024-02-15,200.0,201.5,193.55,195.0,42975
2024-02-18,197.5,199.0,190.15,192.0,31533
2024-02-19,194.5,196.5,191.0,191.8,48704
2024-02-20,192.0,199.5,191.8,197.0,50443
2024-02-21,197.0,201.0,197.0,198.7,44387
2024-02-22,198.0,204.65,198.0,203.5,63598
2024-02-25,205.0,216.05,203.5,207.5,196373
2024-02-26,207.5,208.45,201.5,203.5,78257
2024-02-27,200.5,206.4,198.3,199.5,38835
2024-02-28,202.4,203.0,200.25,201.45,29723
2024-02-29,198.5,203.8,198.5,202.5,27999
2024-03-03,202.5,206.0,202.0,204.95,44654
2024-03-04,207.5,207.5,201.9,205.5,38087
2024-03-05,207.5,207.5,203.0,203.2,57479
2024-03-06,203.5,205.0,202.15,204.45,41074
2024-03-07,202.0,205.0,200.0,200.5,60828
2024-03-10,202.5,205.0,201.0,203.5,66157
2024-03-11,200.5,215.0,200.5,210.5,268203
2024-03-12,209.0,211.0,204.5,206.45,88718
2024-03-13,207.2,207.2,201.5,202.5,36266
2024-03-14,205.0,217.75,200.55,217.75,66929
2024-03-17,214.5,214.5,202.6,205.0,139287
2024-03-18,202.0,217.5,201.05,201.75,48214
2024-03-19,204.5,204.5,198.45,200.0,34269
2024-03-20,199.25,201.0,198.0,199.4,27840
2024-03-21,198.05,199.35,195.5,198.5,37944
2024-03-24,201.45,201.45,189.65,191.95,41782
2024-03-25,189.25,194.5,189.25,190.8,21365
2024-03-26,193.6,203.5,193.6,203.5,2360
2024-03-27,205.0,205.5,196.1,197.0,59755
2024-03-28,195.0,204.0,194.5,202.45,57591
2024-03-31,200.05,205.55,200.0,201.0,43432
2024-04-01,204.0,204.5,198.5,201.5,40682
2024-04-02,203.0,203.0,200.0,200.5,42644
2024-04-03,203.0,204.5,199.0,199.5,25756
2024-04-04,201.5,202.0,199.0,199.0,42527
2024-04-07,198.0,202.45,198.0,200.0,28802
2024-04-08,201.5,201.5,198.0,199.85,13548
2024-04-09,202.5,202.5,197.5,197.5,18000
2024-04-10,197.5,199.85,195.5,196.0,12250
2024-04-11,198.0,198.45,195.0,195.0,31855
2024-04-14,192.55,195.5,192.5,194.0,15117
2024-04-15,194.95,200.95,192.0,197.45,23781
2024-04-16,198.0,198.5,193.0,193.5,6314
2024-04-17,191.25,207.85,191.25,207.85,34823
2024-04-18,204.7,212.4,200.5,207.5,240030
2024-04-21,205.0,216.95,200.45,206.5,107267
2024-04-22,205.0,215.0,199.55,204.95,111460
2024-04-23,202.0,211.25,198.5,200.0,46756
2024-04-24,198.5,200.4,196.1,197.5,39218
2024-04-25,195.3,198.4,195.3,196.5,32129
2024-04-28,199.4,202.0,197.0,197.55,26594
2024-04-29,200.5,200.5,194.55,196.45,28600
2024-04-30,197.05,200.0,194.0,194.6,19864
2024-05-01,195.5,204.35,194.1,196.0,29514
2024-05-02,196.0,197.45,194.5,194.9,13747
2024-05-05,194.0,194.0,190.0,191.5,19905
2024-05-06,194.0,195.35,191.05,195.0,18370
2024-05-07,197.45,197.45,191.0,191.0,20482
2024-05-08,193.25,193.5,190.75,192.5,7858
2024-05-09,194.95,196.0,190.65,190.65,17404
2024-05-12,189.6,198.15,189.6,195.05,32739
2024-05-13,197.95,203.5,194.0,194.75,14562
2024-05-14,192.55,197.45,191.95,195.4,24542
2024-05-15,198.3,198.3,191.5,193.8,25925
2024-05-16,192.5,192.5,190.0,192.0,22690
2024-05-19,194.5,194.5,188.5,188.5,8850
2024-05-20,190.0,194.0,188.0,189.5,17274
2024-05-21,192.0,192.0,187.0,187.5,8096
2024-05-22,187.55,193.0,187.5,188.0,8123
2024-05-23,186.5,193.5,185.5,188.25,7866
2024-05-26,186.5,202.05,186.5,202.05,22391
2024-05-27,199.05,199.05,190.0,195.0,79562
2024-05-28,195.55,196.5,192.6,193.0,25375
2024-05-29,191.0,193.0,190.0,191.8,16561
2024-05-30,194.6,195.0,190.05,191.9,22068
2024-06-02,193.0,194.7,191.0,193.0,45814
2024-06-03,193.0,195.75,191.1,193.65,35327
2024-06-04,194.0,195.95,191.3,192.0,16495
2024-06-05,191.0,193.3,190.0,190.0,16101
2024-06-06,192.0,192.0,189.0,189.5,20079
2024-06-09,192.0,194.45,189.65,191.1,122147
2024-06-10,190.0,193.45,188.5,190.0,23529
2024-06-11,192.25,192.25,189.55,190.0,12200
2024-06-12,192.25,192.25,188.0,188.5,16973
2024-06-13,190.0,190.5,188.0,188.0,8620
2024-06-16,188.0,190.75,187.75,187.75,13059
2024-06-17,187.55,189.75,187.0,188.0,11390
2024-06-18,190.0,190.0,185.0,186.9,13275
2024-06-19,187.45,189.9,187.45,187.5,15418
2024-06-20,187.5,194.3,187.5,192.0,53074
2024-06-23,194.45,206.0,193.55,193.55,34950
2024-06-24,192.1,198.95,192.1,196.0,83251
2024-06-25,198.0,206.0,196.8,202.0,164348
2024-06-26,202.0,207.95,199.3,199.5,100632
2024-06-27,202.3,202.5,198.7,199.05,26988
2024-06-30,198.0,201.0,197.05,198.0,25544
2024-07-01,200.95,207.55,200.95,204.0,175655
2024-07-02,200.95,213.3,200.5,203.5,49822
2024-07-03,206.0,206.0,195.5,199.4,137206
2024-07-04,197.0,197.5,190.0,191.55,101858
2024-07-07,192.0,192.0,187.5,188.25,160802
2024-07-08,188.0,189.5,183.25,186.5,76457
2024-07-09,183.8,199.8,183.8,199.8,72846
2024-07-10,201.75,201.75,188.5,190.5,201706
2024-07-11,192.0,192.0,182.5,184.5,220771
2024-07-14,188.1,201.9,188.1,195.0,193657
2024-07-15,198.9,198.9,186.6,188.0,119494
2024-07-16,190.0,190.8,184.5,187.0,44295
2024-07-17,189.0,189.0,183.6,185.0,45724
2024-07-18,186.8,196.5,186.0,190.0,41692
2024-07-21,190.1,191.4,188.0,188.2,66170
2024-07-22,191.9,203.5,188.2,196.1,63369
2024-07-23,200.0,204.0,191.7,195.0,62766
2024-07-24,198.0,213.2,196.0,213.0,155545
2024-07-25,217.2,221.0,207.8,213.0,188204
2024-07-28,217.2,219.8,211.0,213.0,95734
2024-07-29,217.0,225.4,214.0,224.9,222645
2024-07-30,225.0,229.0,220.0,225.9,109356
2024-07-31,225.8,248.4,223.0,248.4,156465
2024-08-01,253.3,258.9,240.0,242.0,159291
2024-08-04,244.0,244.0,232.0,235.0,124584
2024-08-05,239.7,248.8,225.6,235.0,88833
2024-08-06,235.0,239.0,228.9,229.0,65463
2024-08-07,225.1,235.4,225.1,233.0,86120
2024-08-08,237.5,245.0,234.0,236.0,155823
2024-08-11,240.0,241.0,234.0,234.0,78199
2024-08-12,235.0,238.0,227.0,233.0,89993
2024-08-13,237.0,237.0,219.0,219.0,73900
2024-08-14,218.5,226.4,217.0,225.0,78529
2024-08-15,229.5,240.0,229.0,232.5,117955
2024-08-18,235.0,250.0,228.4,243.2,218863
2024-08-19,248.0,260.0,248.0,260.0,243657
2024-08-20,265.0,265.2,251.9,260.0,145788
2024-08-21,265.2,265.2,249.8,265.0,176289
2024-08-22,270.0,290.0,266.0,286.0,292042
2024-08-25,291.7,291.7,270.0,275.7,182699
2024-08-26,281.2,281.2,262.0,265.0,139655
2024-08-27,270.3,272.0,260.8,264.0,121366
2024-08-28,269.2,269.2,252.0,252.5,94164
2024-08-29,257.5,257.5,230.3,235.0,114277
2024-09-01,239.0,258.0,236.0,241.0,89452
2024-09-02,236.2,250.7,233.4,244.0,77076
2024-09-03,240.0,253.0,235.6,239.0,52290
2024-09-04,235.0,257.3,235.0,253.0,91854
2024-09-05,258.0,259.0,245.0,247.6,79943
2024-09-08,247.6,249.9,235.0,240.0,51158
2024-09-09,236.0,240.0,230.0,236.0,42405
2024-09-10,240.5,240.5,231.0,231.7,19997
2024-09-11,232.0,234.0,223.5,227.0,44504
2024-09-12,230.9,231.5,220.0,221.8,34711
2024-09-15,217.4,224.0,217.4,219.5,22367
2024-09-16,220.0,231.5,217.0,231.5,32759
2024-09-17,232.0,238.1,224.0,225.0,54059
2024-09-18,222.0,225.0,218.0,219.0,36453
