TimeStamp,o,h,l,c,v
2024-01-01,451.9,451.9,438.0,444.0,3319
2024-01-02,438.0,450.0,436.0,447.5,6495
2024-01-03,446.0,450.0,436.1,440.0,6459
2024-01-04,438.1,445.0,438.0,440.1,3319
2024-01-07,448.0,448.9,439.0,443.0,6417
2024-01-08,443.0,474.0,443.0,474.0,2332
2024-01-09,483.4,483.4,451.0,462.0,26770
2024-01-10,462.0,480.0,458.0,478.9,34611
2024-01-11,471.0,508.0,471.0,482.0,24945
2024-01-14,490.0,490.0,475.6,482.0,9666
2024-01-15,472.5,490.0,472.0,487.9,21096
2024-01-16,497.0,511.0,495.0,505.0,51980
2024-01-17,514.7,514.7,492.1,506.0,27737
2024-01-18,506.0,522.0,498.1,512.0,45244
2024-01-21,522.0,522.0,491.0,499.0,51473
2024-01-22,499.0,499.0,484.0,485.4,35347
2024-01-23,485.0,490.0,475.0,481.0,16825
2024-01-24,482.0,489.0,475.1,484.0,21002
2024-01-25,493.6,502.9,475.0,476.0,10289
2024-01-28,475.0,482.0,463.1,465.0,23736
2024-01-29,460.0,475.0,459.0,468.1,17599
2024-01-30,477.4,477.4,461.0,463.9,13049
2024-01-31,473.0,473.0,455.0,459.5,18742
2024-02-01,468.6,470.0,460.0,469.9,11227
2024-02-04,479.0,494.7,471.0,490.0,51019
2024-02-05,499.8,508.0,495.0,499.9,71702
2024-02-06,507.0,507.0,496.5,497.0,33892
2024-02-07,506.0,506.0,499.1,502.9,27630
2024-02-08,510.0,522.0,506.0,515.0,52361
2024-02-11,524.2,525.3,490.3,495.1,43187
2024-02-12,495.0,500.0,485.0,499.9,54665
2024-02-13,490.0,501.0,485.0,486.1,25854
2024-02-14,480.1,495.0,478.5,482.0,26682
2024-02-15,483.0,489.0,475.1,482.0,14598
2024-02-18,487.0,495.0,481.1,482.0,17251
2024-02-19,486.0,486.1,470.0,479.9,31090
2024-02-20,480.0,483.0,473.2,480.0,13469
2024-02-21,471.0,487.0,471.0,485.0,8258
2024-02-22,480.1,488.0,480.1,486.0,12193
2024-02-25,477.0,494.0,476.1,479.0,12215
2024-02-26,470.0,490.0,470.0,479.9,24385
2024-02-27,471.0,484.0,471.0,482.0,10794
2024-02-28,491.5,491.5,476.1,477.6,9689
2024-02-29,485.0,486.1,482.0,484.0,8390
2024-03-03,489.0,489.0,483.0,487.0,13458
2024-03-04,483.5,489.0,478.0,484.5,9491
2024-03-05,483.0,494.0,481.0,481.0,12010
2024-03-06,477.0,489.9,475.1,488.0,9460
2024-03-07,485.0,488.0,472.1,477.0,17652
2024-03-10,486.0,519.0,485.0,507.2,147892
2024-03-11,511.0,513.3,496.0,500.0,37050
2024-03-12,510.0,510.0,475.3,475.3,54349
2024-03-13,484.0,489.9,477.0,481.0,23955
2024-03-14,490.0,494.0,483.0,485.0,11414
2024-03-17,493.8,509.0,484.0,489.9,58163
2024-03-18,499.6,507.0,489.0,493.5,56596
2024-03-19,483.7,503.9,483.7,499.9,22820
2024-03-20,509.8,509.8,489.0,493.5,14058
2024-03-21,499.4,503.2,485.0,485.0,11988
2024-03-24,490.0,490.0,470.0,471.6,32334
2024-03-25,480.0,480.0,462.0,464.0,23620
2024-03-26,473.2,501.0,473.2,501.0,3418
2024-03-27,511.0,511.0,482.2,484.0,16990
2024-03-28,492.9,492.9,474.5,479.0,17342
2024-03-31,488.5,498.2,480.5,482.9,16757
2024-04-01,492.0,497.7,486.0,493.0,12889
2024-04-02,496.0,506.0,492.2,506.0,30314
2024-04-03,505.0,518.0,500.1,513.0,50610
2024-04-04,511.0,522.0,500.0,502.0,37294
2024-04-07,508.9,515.0,500.0,504.5,29808
2024-04-08,513.0,513.0,502.8,505.0,15105
2024-04-09,513.0,530.0,513.0,520.9,126483
2024-04-10,520.0,529.9,510.0,512.0,35619
2024-04-11,515.0,527.3,514.0,519.0,68424
2024-04-14,520.5,524.9,512.0,514.3,15951
2024-04-15,523.0,523.0,515.0,515.6,20888
2024-04-16,525.0,525.0,507.0,507.0,19911
2024-04-17,516.9,516.9,500.1,505.4,20726
2024-04-18,509.8,509.8,496.0,497.0,25134
2024-04-21,506.8,506.8,489.1,492.5,17224
2024-04-22,493.0,499.0,488.2,494.0,19189
2024-04-23,495.0,500.0,492.0,494.0,7045
2024-04-24,495.0,500.0,490.4,492.0,18993
2024-04-25,501.3,525.0,496.3,518.2,63998
2024-04-28,525.0,539.9,521.5,532.9,111871
2024-04-29,532.0,540.0,513.0,515.0,48937
2024-04-30,507.2,520.0,507.1,513.0,19488
2024-05-01,508.3,523.0,506.1,508.0,23165
2024-05-02,507.0,511.0,500.1,502.0,20323
2024-05-05,500.1,506.0,498.0,498.0,15704
2024-05-06,497.1,504.6,490.0,504.6,20622
