TimeStamp,o,h,l,c,v
2024-01-01,1105.35,1114.04,1091.23,1093.42,1914
2024-01-02,1083.33,1096.49,1083.33,1092.98,1718
2024-01-03,1092.98,1096.49,1075.88,1082.46,1264
2024-01-04,1082.46,1082.46,1068.51,1072.81,2226
2024-01-07,1065.79,1091.23,1065.79,1081.14,2471
2024-01-08,1102.72,1124.74,1102.72,1124.74,20
2024-01-09,1147.19,1192.98,1140.35,1171.05,7751
2024-01-10,1185.09,1188.6,1166.67,1178.95,2408
2024-01-11,1176.32,1210.53,1175.44,1179.82,3464
2024-01-14,1167.54,1178.51,1166.67,1170.18,1577
2024-01-15,1171.93,1192.98,1153.51,1192.98,3861
2024-01-16,1216.84,1312.28,1216.84,1312.28,13303
2024-01-17,1328.95,1408.77,1328.95,1368.33,11465
2024-01-18,1390.35,1394.74,1355.26,1368.42,7032
2024-01-21,1368.42,1372.81,1333.33,1336.84,6668
2024-01-22,1342.11,1342.11,1298.25,1300.88,7107
2024-01-23,1300.88,1315.79,1280.7,1280.7,4556
2024-01-24,1264.91,1285.09,1260.53,1271.93,3770
2024-01-25,1289.47,1315.79,1280.7,1295.61,5147
2024-01-28,1316.67,1333.33,1307.02,1322.02,13973
2024-01-29,1348.4,1395.0,1335.1,1369.0,7189
2024-01-30,1372.0,1393.0,1365.0,1365.0,4129
2024-01-31,1360.0,1365.0,1328.0,1334.0,4477
2024-02-01,1335.0,1346.0,1321.0,1330.0,3500
2024-02-04,1335.0,1365.0,1323.2,1326.6,4201
2024-02-05,1353.1,1365.0,1340.0,1345.1,3504
2024-02-06,1365.0,1370.0,1347.9,1350.0,2116
2024-02-07,1360.0,1387.0,1360.0,1379.0,3746
2024-02-08,1387.0,1439.0,1387.0,1426.0,6314
2024-02-11,1454.0,1460.0,1407.0,1407.0,5849
2024-02-12,1400.0,1400.0,1361.0,1385.0,3971
2024-02-13,1380.0,1395.0,1361.0,1365.0,3900
2024-02-14,1345.0,1371.0,1340.1,1341.0,3302
2024-02-15,1341.5,1350.0,1340.0,1348.0,2221
2024-02-18,1369.0,1390.0,1341.0,1350.0,2010
2024-02-19,1350.0,1360.0,1336.0,1350.0,4338
2024-02-20,1351.0,1360.0,1341.5,1349.8,2122
2024-02-21,1350.0,1355.0,1341.1,1355.0,4204
2024-02-22,1330.1,1355.0,1330.1,1348.0,2781
2024-02-25,1350.0,1355.0,1330.0,1339.9,2146
2024-02-26,1337.2,1337.3,1320.0,1323.0,2723
2024-02-27,1349.4,1349.4,1299.0,1299.0,3928
